Altium Designer Pick and Place Locations
C:\shared\fydp\fydp-anchor-pcb\UWB_Anchor\Project Outputs for UWB_Anchor\Pick Place\Pick Place for board.csv

========================================================================================================================
File Design Information:

Date:       24-06-23
Time:       08:23
Revision:   8bf456b7492b2a516fffef77cfb1069842b1cee9
Variant:    No variations
Units used: mm

"Designator","Footprint","Center-X(mm)","Center-Y(mm)","Ref-X(mm)","Ref-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Layer","Rotation","Comment"
"S2","SW_TS-1187A-B-A-B","92.0750mm","82.0420mm","92.0750mm","82.0420mm","95.0750mm","80.1670mm","TopLayer","180","TS-1187A-B-A-B"
"S1","SW_TS-1187A-B-A-B","92.0750mm","87.9140mm","92.0750mm","87.9140mm","95.0750mm","86.0390mm","TopLayer","180","TS-1187A-B-A-B"
"R19","0603_-_Resistor","86.6780mm","80.1370mm","86.6780mm","80.1370mm","87.5030mm","80.1370mm","TopLayer","180","Resistor"
"R18","0603_-_Resistor","86.6780mm","85.9790mm","86.6780mm","85.9790mm","87.5030mm","85.9790mm","TopLayer","180","Resistor"
"D2","FP-SMAJ-MFG","84.7090mm","35.6870mm","84.7090mm","35.6870mm","84.7090mm","37.8870mm","BottomLayer","270","SMAJ58A"
"Q2","ONSC-SOT-23-3-318-08_V","84.2719mm","91.1599mm","84.2719mm","91.1599mm","83.2719mm","92.1099mm","TopLayer","0","MGSF2N02ELT1G"
"Q1","ONSC-SOT-23-3-318-08_V","84.2719mm","95.0969mm","84.2719mm","95.0969mm","83.2719mm","96.0469mm","TopLayer","0","MGSF2N02ELT1G"
"F2","Wurth_0_MFG","83.8200mm","73.6600mm","83.8200mm","73.6600mm","95.1200mm","73.6600mm","TopLayer","180","696101000002"
"U1","Ag9900m","82.1690mm","54.3560mm","82.1690mm","54.3560mm","75.0689mm","63.6859mm","TopLayer","270","POE_PSU-DP990X"
"R23","0603_-_Resistor","81.2879mm","94.7159mm","81.2879mm","94.7159mm","80.4629mm","94.7159mm","TopLayer","0","Resistor"
"R17","0603_-_Resistor","81.2869mm","95.9859mm","81.2869mm","95.9859mm","82.1119mm","95.9859mm","TopLayer","180","Resistor"
"R22","0603_-_Resistor","81.2079mm","90.7789mm","81.2079mm","90.7789mm","80.3829mm","90.7789mm","TopLayer","0","Resistor"
"R16","0603_-_Resistor","81.2079mm","92.0489mm","81.2079mm","92.0489mm","82.0329mm","92.0489mm","TopLayer","180","Resistor"
"R13","0603_-_Resistor","75.0570mm","83.4390mm","75.0570mm","83.4390mm","75.0570mm","82.6140mm","TopLayer","90","Resistor"
"D1","0805_LED","75.0481mm","88.6438mm","75.0570mm","88.6460mm","75.0481mm","89.5938mm","TopLayer","270","LED"
"R15","0603_-_Resistor","74.5490mm","93.0270mm","74.5490mm","93.0270mm","74.5490mm","92.2020mm","TopLayer","90","Resistor"
"R21","0603_-_Resistor","72.6440mm","83.4390mm","72.6440mm","83.4390mm","72.6440mm","82.6140mm","TopLayer","90","Resistor"
"D4","0805_LED","72.5170mm","93.1570mm","72.5081mm","93.1548mm","72.5170mm","92.2070mm","TopLayer","90","LED"
"D6","0805_LED","72.4992mm","88.6438mm","72.5081mm","88.6460mm","72.4992mm","89.5938mm","TopLayer","270","LED"
"D3","0805_LED","69.9681mm","93.1570mm","69.9592mm","93.1548mm","69.9681mm","92.2070mm","TopLayer","90","LED"
"D5","0805_LED","69.9503mm","88.6438mm","69.9592mm","88.6460mm","69.9503mm","89.5938mm","TopLayer","270","LED"
"R20","0603_-_Resistor","69.8500mm","83.4390mm","69.8500mm","83.4390mm","69.8500mm","82.6140mm","TopLayer","90","Resistor"
"C7","0603_-_Capacitor","69.2150mm","61.0910mm","69.2150mm","61.0910mm","69.2150mm","60.3410mm","TopLayer","90","Capacitor - Nonpolarized"
"R14","0603_-_Resistor","67.9450mm","93.0270mm","67.9450mm","93.0270mm","67.9450mm","92.2020mm","TopLayer","90","Resistor"
"C8","0603_-_Capacitor","67.4370mm","61.0910mm","67.4370mm","61.0910mm","67.4370mm","60.3410mm","TopLayer","90","Capacitor - Nonpolarized"
"F1","Wurth_0_MFG","66.2940mm","32.8930mm","66.2940mm","32.8930mm","54.9940mm","32.8930mm","TopLayer","0","696101000002"
"C6","CAPPRD350W60D825H1300","64.9250mm","69.0880mm","66.6750mm","69.0880mm","66.6750mm","69.0880mm","TopLayer","180","Capacitor - Polarized"
"L1","FP-DFE252010C-IPC_A","63.9907mm","61.8290mm","63.9907mm","61.8290mm","65.1163mm","61.8290mm","TopLayer","180","2.2uH"
"C9","0603_-_Capacitor","63.6310mm","59.0550mm","63.6310mm","59.0550mm","64.3810mm","59.0550mm","TopLayer","180","Capacitor - Nonpolarized"
"J5","HDR1X2","62.8650mm","55.3720mm","62.8650mm","54.1020mm","62.8650mm","54.1020mm","TopLayer","90","1x2 Header"
